title,count,mean,std,min,25%,50%,75%,max
远乡维也纳,4.0,6494.0,1252.0,5257.0,5570.0,6378.0,7303.0,7962.0
远大大厦,12.0,8574.0,1448.0,5673.0,7920.0,8678.0,9663.0,10650.0
远洋假日养生庄园,51.0,9308.0,1838.0,7052.0,7986.0,8984.0,10374.0,14926.0
远洋广场,152.0,18153.0,2101.0,13220.0,17106.0,18198.0,19483.0,23276.0
远洋时代城一期,150.0,9685.0,1879.0,7629.0,8901.0,9375.0,9872.0,25969.0
远洋时代城三期,73.0,9368.0,754.0,7393.0,8985.0,9357.0,9834.0,11355.0
远洋时代城二期,11.0,10391.0,536.0,9542.0,10101.0,10459.0,10560.0,11341.0
远洋时代城四期,62.0,8992.0,611.0,7663.0,8578.0,9028.0,9408.0,10291.0
远洋自然,36.0,17602.0,2548.0,15291.0,16288.0,17152.0,17941.0,27252.0
远洋荣域,2.0,21706.0,664.0,21237.0,21472.0,21706.0,21941.0,22176.0
远洋荣域A1区,1.0,22149.0,,22149.0,22149.0,22149.0,22149.0,22149.0
远洋荣域A2区,21.0,17610.0,1784.0,15274.0,15820.0,18387.0,18687.0,21343.0
远洋荣域A3区,1.0,28384.0,,28384.0,28384.0,28384.0,28384.0,28384.0
远洋荣域A4区,52.0,20434.0,1419.0,17622.0,19402.0,20301.0,21328.0,23528.0
远洋荣域B1区,37.0,20080.0,1339.0,17970.0,18943.0,19998.0,20780.0,23258.0
远洋荣域B2区,45.0,20743.0,1551.0,17858.0,19807.0,20907.0,21843.0,24344.0
远洋荣域B3区,44.0,20459.0,1769.0,17085.0,19387.0,20756.0,21524.0,24079.0
远洋金马杰座,4.0,8808.0,1322.0,7170.0,8026.0,9033.0,9816.0,9997.0
远洋钻石湾一期,1.0,31318.0,,31318.0,31318.0,31318.0,31318.0,31318.0
远洋钻石湾三期,31.0,24764.0,3027.0,13337.0,24098.0,25031.0,26758.0,28996.0
远洋风景,32.0,24024.0,4253.0,18667.0,20241.0,22123.0,28308.0,30974.0
远洲国际城一期,11.0,7611.0,725.0,6863.0,7096.0,7382.0,7901.0,9080.0
远洲国际城三期,1.0,8182.0,,8182.0,8182.0,8182.0,8182.0,8182.0
远洲国际城二期,2.0,8605.0,778.0,8055.0,8330.0,8605.0,8880.0,9155.0
连华街,24.0,15975.0,4681.0,10103.0,11940.0,15016.0,19166.0,24461.0
连大文润金宸一二期,83.0,11585.0,1620.0,8841.0,10181.0,11372.0,12777.0,15815.0
连大文润金宸三期,47.0,12237.0,2091.0,8479.0,10648.0,11957.0,13327.0,16489.0
连山街,2.0,13455.0,1276.0,12553.0,13004.0,13455.0,13906.0,14357.0
连平街（大菜市商圈）,3.0,12910.0,1447.0,11648.0,12120.0,12593.0,13542.0,14490.0
连庆巷,1.0,10021.0,,10021.0,10021.0,10021.0,10021.0,10021.0
连桥巷,4.0,12207.0,1244.0,10755.0,11383.0,12370.0,13194.0,13334.0
连海金源,39.0,14832.0,1516.0,12547.0,13866.0,14436.0,15601.0,20322.0
连界巷,2.0,12624.0,22.0,12608.0,12616.0,12624.0,12631.0,12639.0
连胜小区,7.0,8234.0,1142.0,6250.0,7836.0,8640.0,8756.0,9562.0
连胜巷,1.0,11903.0,,11903.0,11903.0,11903.0,11903.0,11903.0
通江街（大菜市商圈）,1.0,9719.0,,9719.0,9719.0,9719.0,9719.0,9719.0
通用阳光丽景,37.0,7633.0,683.0,5862.0,7097.0,7695.0,8084.0,8664.0
逸林派,28.0,15279.0,1010.0,13517.0,14758.0,15228.0,15761.0,18839.0
邑嘉海景,3.0,3243.0,234.0,2977.0,3156.0,3334.0,3376.0,3418.0
